# Tabulated Bond Potential File (Huang Model)


Bond1
N 200 EQ 3.820000
165 4.1482 23.2385 -575.3104
166 4.1583 29.8864 -754.5759
167 4.1683 38.5594 -979.7079
168 4.1784 49.7631 -1259.8413
169 4.1884 64.1022 -1605.5298
170 4.1985 82.2952 -2028.9180
171 4.2085 105.1912 -2543.9309
172 4.2186 133.7895 -3166.4797
173 4.2286 169.2598 -3914.6878
174 4.2387 212.9663 -4809.1360
175 4.2487 266.4935 -5873.1295
176 4.2588 331.6749 -7132.9883
177 4.2688 410.6252 -8618.3619
178 4.2789 505.7750 -10362.5698
179 4.2889 619.9098 -12402.9713
180 4.2990 756.2127 -14781.3632
181 4.3090 918.3107 -17544.4106
182 4.3191 1110.3263 -20744.1106
183 4.3291 1336.9336 -24438.2919
184 4.3392 1603.4191 -28691.1515
185 4.3492 1915.7493 -33573.8329
186 4.3593 2280.6428 -39165.0453
187 4.3693 2705.6503 -45551.7285
188 4.3794 3199.2404 -52829.7651
189 4.3894 3770.8937 -61104.7427
190 4.3995 4431.2040 -70492.7695
191 4.4095 5191.9884 -81121.3454
192 4.4196 6066.4067 -93130.2923
193 4.4296 7069.0898 -106672.7466
194 4.4397 8216.2793 -121916.2171
195 4.4497 9525.9769 -139043.7119
196 4.4598 11018.1065 -158254.9375
197 4.4698 12714.6884 -179767.5748
198 4.4799 14640.0267 -203818.6349
199 4.4899 16820.9104 -230665.8988
200 4.5000 19286.8303 -260589.4460
