# Tabulated Angle Potential File (Huang Model)


Angle1
N 200 EQ 180.00
200 180.0000 0.8308 0.0000


Angle3
N 200 EQ 122.32

1 0.0000 1056.7922 78.4108
2 0.9045 1006.5503 75.5504
3 1.8090 958.3115 72.7741
4 2.7136 912.0118 70.0801
5 3.6181 867.5889 67.4664
6 4.5226 824.9821 64.9313
7 5.4271 784.1320 62.4730
8 6.3317 744.9805 60.0897
9 7.2362 707.4714 57.7798
10 8.1407 671.5494 55.5414
11 9.0452 637.1608 53.3729
12 9.9497 604.2534 51.2727
13 10.8543 572.7761 49.2391
14 11.7588 542.6792 47.2706
15 12.6633 513.9143 45.3655
16 13.5678 486.4343 43.5224
17 14.4724 460.1932 41.7397
18 15.3769 435.1463 40.0158
19 16.2814 411.2503 38.3494
20 17.1859 388.4628 36.7390
21 18.0905 366.7426 35.1832
22 18.9950 346.0498 33.6805
23 19.8995 326.3454 32.2296
24 20.8040 307.5918 30.8291
25 21.7085 289.7521 29.4778
26 22.6131 272.7908 28.1742
27 23.5176 256.6731 26.9172
28 24.4221 241.3656 25.7055
29 25.3266 226.8356 24.5378
30 26.2312 213.0515 23.4129
31 27.1357 199.9825 22.3297
32 28.0402 187.5991 21.2869
33 28.9447 175.8722 20.2834
34 29.8492 164.7742 19.3182
35 30.7538 154.2778 18.3901
36 31.6583 144.3570 17.4980
37 32.5628 134.9864 16.6408
38 33.4673 126.1415 15.8176
39 34.3719 117.7986 15.0272
40 35.2764 109.9349 14.2688
41 36.1809 102.5282 13.5414
42 37.0854 95.5571 12.8439
43 37.9899 89.0011 12.1754
44 38.8945 82.8402 11.5351
45 39.7990 77.0553 10.9220
46 40.7035 71.6278 10.3352
47 41.6080 66.5400 9.7740
48 42.5126 61.7746 9.2374
49 43.4171 57.3151 8.7246
50 44.3216 53.1456 8.2349
51 45.2261 49.2509 7.7674
52 46.1307 45.6162 7.3214
53 47.0352 42.2274 6.8961
54 47.9397 39.0711 6.4908
55 48.8442 36.1341 6.1048
56 49.7487 33.4040 5.7373
57 50.6533 30.8689 5.3878
58 51.5578 28.5173 5.0555
59 52.4623 26.3384 4.7399
60 53.3668 24.3216 4.4402
61 54.2714 22.4570 4.1558
62 55.1759 20.7350 3.8862
63 56.0804 19.1465 3.6308
64 56.9849 17.6829 3.3890
65 57.8894 16.3358 3.1603
66 58.7940 15.0975 2.9441
67 59.6985 13.9605 2.7398
68 60.6030 12.9176 2.5471
69 61.5075 11.9621 2.3654
70 62.4121 11.0877 2.1942
71 63.3166 10.2882 2.0330
72 64.2211 9.5581 1.8815
73 65.1256 8.8919 1.7391
74 66.0302 8.2845 1.6055
75 66.9347 7.7312 1.4803
76 67.8392 7.2273 1.3629
77 68.7437 6.7688 1.2532
78 69.6482 6.3515 1.1506
79 70.5528 5.9719 1.0549
80 71.4573 5.6264 0.9656
81 72.3618 5.3118 0.8825
82 73.2663 5.0250 0.8052
83 74.1709 4.7633 0.7334
84 75.0754 4.5241 0.6668
85 75.9799 4.3050 0.6052
86 76.8844 4.1037 0.5482
87 77.7889 3.9182 0.4956
88 78.6935 3.7467 0.4471
89 79.5980 3.5874 0.4025
